id	path	commit	files	bytes	primary_markers
aider	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/aider	5dc9490	691	159884	pyproject.toml,README.md
blarify	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/blarify	ada9bbd	400	14220	pyproject.toml,README.md
cgc	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/cgc	c235df7	998	116640	pyproject.toml,README.md
claude-context	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/claude-context	627eb2b	177	35092	package.json,README.md
codanna	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/codanna	cb2c095	0	8632	Cargo.toml,README.md
codanna-clean	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/codanna-clean	cb2c095	822	15800	Cargo.toml,README.md
code-graph-mcp	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/code-graph-mcp	374d41e	30	868	pyproject.toml,README.md
code-graph-mcp-2	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/code-graph-mcp-2	960d120	224	5540	package.json,Cargo.toml,README.md
code-review-graph	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/code-review-graph	b72413c	287	15520	pyproject.toml,README.md
codebase-memory	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/codebase-memory	684e35b	1676	1280540	README.md
codegraph	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/codegraph	a893156	387	20076	package.json,README.md
coderag-bench	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/coderag-bench	f9e100ca	27674	1244536	README.md
graphify	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/graphify	a4d09ae	592	14144	pyproject.toml,README.md
repograph	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/repograph	6c3977d	209	7416	README.md
scip	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/scip	75d1151	219	3728	go.mod,README.md
semantic-search-mcp	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/semantic-search-mcp	40a1b01	48	976	pyproject.toml,README.md
serena	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/serena	dd7eb6d	906	12104	pyproject.toml,README.md
understand-anything	/Users/liuzaoqu/Desktop/develop/sogen/OmniWeave/research/2026-06-23-codegraph-ecosystem/repos/understand-anything	7f5a717	420	51304	package.json,README.md
